notam_id,icao_location,q_code,category,effective_start,effective_end,body_text,full_text,char_count,word_count
A1932/24,EGLL,QAALT,AIRSPACE_RESTRICTION,2603060940,2603241340,CLASS D AIRSPACE CHANGED TO CLASS C,"A1932/24 NOTAMN
Q) EGZX/QAALT/IV/NBO/A/000/999/5000N00000E999
A) EGLL B) 2603060940 C) 2603241340
E) CLASS D AIRSPACE CHANGED TO CLASS C",35,7
A1552/24,RJTT,QNVXX,NAVIGATION_AID,2603060440,2603231540,VOR SFD UNSERVICEABLE,"A1552/24 NOTAMN
Q) RJZX/QNVXX/IV/NBO/A/000/999/5000N00000E999
A) RJTT B) 2603060440 C) 2603231540
E) VOR SFD UNSERVICEABLE",21,3
A1067/24,EDDF,QMRLT,RUNWAY_CLOSURE,2603052340,2603062340,RWY 10L CLSD DUE TO CONSTRUCTION WIP,"A1067/24 NOTAMN
Q) EDZX/QMRLT/IV/NBO/A/000/999/5000N00000E999
A) EDDF B) 2603052340 C) 2603062340
E) RWY 10L CLSD DUE TO CONSTRUCTION WIP",36,7
A2419/24,YSSY,QLTBA,LIGHTING,2603061840,2603212340,HIRL RWY 09 REDUCED TO MIRL,"A2419/24 NOTAMN
Q) YSZX/QLTBA/IV/NBO/A/000/999/5000N00000E999
A) YSSY B) 2603061840 C) 2603212340
E) HIRL RWY 09 REDUCED TO MIRL",27,6
A1036/24,OMDB,QMRXX,RUNWAY_CLOSURE,2603070440,2603242040,RWY 23 THRESHOLD DISPLACED 2.3M,"A1036/24 NOTAMN
Q) OMZX/QMRXX/IV/NBO/A/000/999/5000N00000E999
A) OMDB B) 2603070440 C) 2603242040
E) RWY 23 THRESHOLD DISPLACED 2.3M",31,5
A2877/24,EDDF,QOBXX,OBSTACLE,2603091640,2603161440,TOWER ERECTED 4936N01054E HEIGHT 1587FT AMSL,"A2877/24 NOTAMN
Q) EDZX/QOBXX/IV/NBO/A/000/999/5000N00000E999
A) EDDF B) 2603091640 C) 2603161440
E) TOWER ERECTED 4936N01054E HEIGHT 1587FT AMSL",44,6
A1137/24,EGLL,QMRLT,RUNWAY_CLOSURE,2603062140,2603270540,RWY 27 CLSD 5H DAILY,"A1137/24 NOTAMN
Q) EGZX/QMRLT/IV/NBO/A/000/999/5000N00000E999
A) EGLL B) 2603062140 C) 2603270540
E) RWY 27 CLSD 5H DAILY",20,5
A1472/24,KLAX,QILXX,NAVIGATION_AID,2603060140,2603270940,ILS CAT II RWY 28L NOT AUTH,"A1472/24 NOTAMN
Q) KLZX/QILXX/IV/NBO/A/000/999/5000N00000E999
A) KLAX B) 2603060140 C) 2603270940
E) ILS CAT II RWY 28L NOT AUTH",27,7
A1190/24,LFPG,QMRLC,RUNWAY_CLOSURE,2603080040,2604061040,RWY 32L STRENGTH REDUCED ACFT OVER 100T NOT AUTHORIZED,"A1190/24 NOTAMN
Q) LFZX/QMRLC/IV/NBO/A/000/999/5000N00000E999
A) LFPG B) 2603080040 C) 2604061040
E) RWY 32L STRENGTH REDUCED ACFT OVER 100T NOT AUTHORIZED",54,9
A1984/24,EHAM,QDAXX,AIRSPACE_RESTRICTION,2603071940,2604030240,RESTRICTED AREA MOA-7 ACTIVE SFC-14502FT MSL,"A1984/24 NOTAMN
Q) EHZX/QDAXX/IV/NBO/A/000/999/5000N00000E999
A) EHAM B) 2603071940 C) 2604030240
E) RESTRICTED AREA MOA-7 ACTIVE SFC-14502FT MSL",44,6
A1442/24,EHAM,QNVAS,NAVIGATION_AID,2603070040,2603180640,NDB MAR OTS,"A1442/24 NOTAMN
Q) EHZX/QNVAS/IV/NBO/A/000/999/5000N00000E999
A) EHAM B) 2603070040 C) 2603180640
E) NDB MAR OTS",11,3
A1167/24,KLAX,QMRXX,RUNWAY_CLOSURE,2603080940,2603182240,RWY 09 STRENGTH REDUCED ACFT OVER 25T NOT AUTHORIZED,"A1167/24 NOTAMN
Q) KLZX/QMRXX/IV/NBO/A/000/999/5000N00000E999
A) KLAX B) 2603080940 C) 2603182240
E) RWY 09 STRENGTH REDUCED ACFT OVER 25T NOT AUTHORIZED",52,9
A2964/24,YSSY,QOBXX,OBSTACLE,2603090440,2604050040,NEW OBSTACLE CRANE 1638FT AGL WITHIN 13.9NM OF KLAX,"A2964/24 NOTAMN
Q) YSZX/QOBXX/IV/NBO/A/000/999/5000N00000E999
A) YSSY B) 2603090440 C) 2604050040
E) NEW OBSTACLE CRANE 1638FT AGL WITHIN 13.9NM OF KLAX",51,9
A2909/24,EDDF,QOBCE,OBSTACLE,2603062040,2603150940,OBSTACLE LGTS U/S 3434N01652W 2184FT AMSL,"A2909/24 NOTAMN
Q) EDZX/QOBCE/IV/NBO/A/000/999/5000N00000E999
A) EDDF B) 2603062040 C) 2603150940
E) OBSTACLE LGTS U/S 3434N01652W 2184FT AMSL",41,6
A2655/24,LFPG,QOBCE,OBSTACLE,2603080540,2603232340,TOWER ERECTED 4556N00719W HEIGHT 2504FT AMSL,"A2655/24 NOTAMN
Q) LFZX/QOBCE/IV/NBO/A/000/999/5000N00000E999
A) LFPG B) 2603080540 C) 2603232340
E) TOWER ERECTED 4556N00719W HEIGHT 2504FT AMSL",44,6
A3212/24,YSSY,QAAXX,AERODROME_PROCEDURE,2603091740,2603260840,PPR REQUIRED FOR ALL ACFT OVER 10T,"A3212/24 NOTAMN
Q) YSZX/QAAXX/IV/NBO/A/000/999/5000N00000E999
A) YSSY B) 2603091740 C) 2603260840
E) PPR REQUIRED FOR ALL ACFT OVER 10T",34,7
A3351/24,KATL,QAFXX,AERODROME_PROCEDURE,2603080740,2603300940,CUSTOMS NOT AVBL 2H DAILY,"A3351/24 NOTAMN
Q) KAZX/QAFXX/IV/NBO/A/000/999/5000N00000E999
A) KATL B) 2603080740 C) 2603300940
E) CUSTOMS NOT AVBL 2H DAILY",25,5
A2084/24,EDDF,QRTCA,AIRSPACE_RESTRICTION,2603060440,2603241140,RESTRICTED AREA D-201 ACTIVE SFC-12512FT MSL,"A2084/24 NOTAMN
Q) EDZX/QRTCA/IV/NBO/A/000/999/5000N00000E999
A) EDDF B) 2603060440 C) 2603241140
E) RESTRICTED AREA D-201 ACTIVE SFC-12512FT MSL",44,6
A1258/24,EHAM,QMRXX,RUNWAY_CLOSURE,2603081840,2604040940,RWY 09 STRENGTH REDUCED ACFT OVER 5T NOT AUTHORIZED,"A1258/24 NOTAMN
Q) EHZX/QMRXX/IV/NBO/A/000/999/5000N00000E999
A) EHAM B) 2603081840 C) 2604040940
E) RWY 09 STRENGTH REDUCED ACFT OVER 5T NOT AUTHORIZED",51,9
A1333/24,LFPG,QMRLT,RUNWAY_CLOSURE,2603061140,2603140940,ALL RWYS CLSD EXCEPT RWY 10R,"A1333/24 NOTAMN
Q) LFZX/QMRLT/IV/NBO/A/000/999/5000N00000E999
A) LFPG B) 2603061140 C) 2603140940
E) ALL RWYS CLSD EXCEPT RWY 10R",28,6
A3348/24,KLAX,QARAS,AERODROME_PROCEDURE,2603091140,2603240440,PPR REQUIRED FOR ALL ACFT OVER 10T,"A3348/24 NOTAMN
Q) KLZX/QARAS/IV/NBO/A/000/999/5000N00000E999
A) KLAX B) 2603091140 C) 2603240440
E) PPR REQUIRED FOR ALL ACFT OVER 10T",34,7
A1582/24,EGLL,QNVAS,NAVIGATION_AID,2603090740,2603260840,VOR/DME MAR REDUCED POWER 42 PCT,"A1582/24 NOTAMN
Q) EGZX/QNVAS/IV/NBO/A/000/999/5000N00000E999
A) EGLL B) 2603090740 C) 2603260840
E) VOR/DME MAR REDUCED POWER 42 PCT",32,6
A3392/24,YSSY,QARAS,AERODROME_PROCEDURE,2603061840,2603232340,NOISE ABATEMENT PROC CHANGED,"A3392/24 NOTAMN
Q) YSZX/QARAS/IV/NBO/A/000/999/5000N00000E999
A) YSSY B) 2603061840 C) 2603232340
E) NOISE ABATEMENT PROC CHANGED",28,4
A2868/24,OMDB,QOBCE,OBSTACLE,2603060840,2603271940,NEW OBSTACLE CRANE 377FT AGL WITHIN 12.2NM OF KATL,"A2868/24 NOTAMN
Q) OMZX/QOBCE/IV/NBO/A/000/999/5000N00000E999
A) OMDB B) 2603060840 C) 2603271940
E) NEW OBSTACLE CRANE 377FT AGL WITHIN 12.2NM OF KATL",50,9
A1933/24,LFPG,QRPXX,AIRSPACE_RESTRICTION,2603091340,2603180240,PROHIBITED AREA D-201 ACTIVATED,"A1933/24 NOTAMN
Q) LFZX/QRPXX/IV/NBO/A/000/999/5000N00000E999
A) LFPG B) 2603091340 C) 2603180240
E) PROHIBITED AREA D-201 ACTIVATED",31,4
A2411/24,YSSY,QLTAS,LIGHTING,2603061840,2603190740,ALS RWY 18 OTS,"A2411/24 NOTAMN
Q) YSZX/QLTAS/IV/NBO/A/000/999/5000N00000E999
A) YSSY B) 2603061840 C) 2603190740
E) ALS RWY 18 OTS",14,4
A2633/24,OMDB,QOBXX,OBSTACLE,2603071040,2603201340,MULTIPLE CRANES MAX 2013FT AGL WITHIN 12.7NM,"A2633/24 NOTAMN
Q) OMZX/QOBXX/IV/NBO/A/000/999/5000N00000E999
A) OMDB B) 2603071040 C) 2603201340
E) MULTIPLE CRANES MAX 2013FT AGL WITHIN 12.7NM",44,7
A1659/24,KLAX,QNDXX,NAVIGATION_AID,2603090840,2603180240,VOR/DME BIG UNSERVICEABLE,"A1659/24 NOTAMN
Q) KLZX/QNDXX/IV/NBO/A/000/999/5000N00000E999
A) KLAX B) 2603090840 C) 2603180240
E) VOR/DME BIG UNSERVICEABLE",25,3
A1071/24,LFPG,QMRXX,RUNWAY_CLOSURE,2603082340,2603181040,RWY 18 STRENGTH REDUCED ACFT OVER 15T NOT AUTHORIZED,"A1071/24 NOTAMN
Q) LFZX/QMRXX/IV/NBO/A/000/999/5000N00000E999
A) LFPG B) 2603082340 C) 2603181040
E) RWY 18 STRENGTH REDUCED ACFT OVER 15T NOT AUTHORIZED",52,9
A2286/24,LFPG,QLTBJ,LIGHTING,2603081040,2603210940,VASI RWY 23 UNSERVICEABLE,"A2286/24 NOTAMN
Q) LFZX/QLTBJ/IV/NBO/A/000/999/5000N00000E999
A) LFPG B) 2603081040 C) 2603210940
E) VASI RWY 23 UNSERVICEABLE",25,4
A1777/24,KJFK,QNVXX,NAVIGATION_AID,2603081940,2603212240,ILS CAT III RWY 10L NOT AUTH,"A1777/24 NOTAMN
Q) KJZX/QNVXX/IV/NBO/A/000/999/5000N00000E999
A) KJFK B) 2603081940 C) 2603212240
E) ILS CAT III RWY 10L NOT AUTH",28,7
A1625/24,KLAX,QILXX,NAVIGATION_AID,2603070640,2603091740,VOR CLN OTS,"A1625/24 NOTAMN
Q) KLZX/QILXX/IV/NBO/A/000/999/5000N00000E999
A) KLAX B) 2603070640 C) 2603091740
E) VOR CLN OTS",11,3
A2938/24,KATL,QOBXX,OBSTACLE,2603091640,2603121940,CONSTRUCTION CRANE 761FT MSL WITHIN 10.2NM ARP,"A2938/24 NOTAMN
Q) KAZX/QOBXX/IV/NBO/A/000/999/5000N00000E999
A) KATL B) 2603091640 C) 2603121940
E) CONSTRUCTION CRANE 761FT MSL WITHIN 10.2NM ARP",46,7
A2499/24,EHAM,QLTBJ,LIGHTING,2603081340,2604061540,VASI RWY 27 UNSERVICEABLE,"A2499/24 NOTAMN
Q) EHZX/QLTBJ/IV/NBO/A/000/999/5000N00000E999
A) EHAM B) 2603081340 C) 2604061540
E) VASI RWY 27 UNSERVICEABLE",25,4
A2635/24,EHAM,QOBCE,OBSTACLE,2603062140,2603262140,NEW OBSTACLE CRANE 2116FT AGL WITHIN 4.1NM OF KJFK,"A2635/24 NOTAMN
Q) EHZX/QOBCE/IV/NBO/A/000/999/5000N00000E999
A) EHAM B) 2603062140 C) 2603262140
E) NEW OBSTACLE CRANE 2116FT AGL WITHIN 4.1NM OF KJFK",50,9
A2070/24,KJFK,QRTCA,AIRSPACE_RESTRICTION,2603081640,2604010840,TFR EFFECTIVE WITHIN 19NM RADIUS OF 3847N 01629W,"A2070/24 NOTAMN
Q) KJZX/QRTCA/IV/NBO/A/000/999/5000N00000E999
A) KJFK B) 2603081640 C) 2604010840
E) TFR EFFECTIVE WITHIN 19NM RADIUS OF 3847N 01629W",48,8
A2288/24,RJTT,QLTBJ,LIGHTING,2603092240,2603140240,REIL RWY 09 U/S,"A2288/24 NOTAMN
Q) RJZX/QLTBJ/IV/NBO/A/000/999/5000N00000E999
A) RJTT B) 2603092240 C) 2603140240
E) REIL RWY 09 U/S",15,4
A2344/24,KLAX,QLTBA,LIGHTING,2603081340,2603172340,APRON LGTS PARTLY U/S,"A2344/24 NOTAMN
Q) KLZX/QLTBA/IV/NBO/A/000/999/5000N00000E999
A) KLAX B) 2603081340 C) 2603172340
E) APRON LGTS PARTLY U/S",21,4
A2632/24,EHAM,QOBXX,OBSTACLE,2603070740,2604040240,NEW OBSTACLE CRANE 843FT AGL WITHIN 13.6NM OF KLAX,"A2632/24 NOTAMN
Q) EHZX/QOBXX/IV/NBO/A/000/999/5000N00000E999
A) EHAM B) 2603070740 C) 2604040240
E) NEW OBSTACLE CRANE 843FT AGL WITHIN 13.6NM OF KLAX",50,9
A2449/24,EGLL,QLTBJ,LIGHTING,2603060040,2603150340,VASI RWY 05 UNSERVICEABLE,"A2449/24 NOTAMN
Q) EGZX/QLTBJ/IV/NBO/A/000/999/5000N00000E999
A) EGLL B) 2603060040 C) 2603150340
E) VASI RWY 05 UNSERVICEABLE",25,4
A1571/24,OMDB,QNDXX,NAVIGATION_AID,2603080140,2603162140,ILS RWY 27 REDUCED CATEGORY I,"A1571/24 NOTAMN
Q) OMZX/QNDXX/IV/NBO/A/000/999/5000N00000E999
A) OMDB B) 2603080140 C) 2603162140
E) ILS RWY 27 REDUCED CATEGORY I",29,6
A1720/24,LFPG,QNVXX,NAVIGATION_AID,2603081640,2604041340,GP RWY 09 NOT AVAILABLE,"A1720/24 NOTAMN
Q) LFZX/QNVXX/IV/NBO/A/000/999/5000N00000E999
A) LFPG B) 2603081640 C) 2604041340
E) GP RWY 09 NOT AVAILABLE",23,5
A3152/24,LFPG,QARAS,AERODROME_PROCEDURE,2603060340,2603242340,NOISE ABATEMENT PROC CHANGED,"A3152/24 NOTAMN
Q) LFZX/QARAS/IV/NBO/A/000/999/5000N00000E999
A) LFPG B) 2603060340 C) 2603242340
E) NOISE ABATEMENT PROC CHANGED",28,4
A1154/24,KATL,QMRLC,RUNWAY_CLOSURE,2603072040,2603131440,RWY 05 CLSD DUE TO CRACKED PAVEMENT,"A1154/24 NOTAMN
Q) KAZX/QMRLC/IV/NBO/A/000/999/5000N00000E999
A) KATL B) 2603072040 C) 2603131440
E) RWY 05 CLSD DUE TO CRACKED PAVEMENT",35,7
A3062/24,RJTT,QAFXX,AERODROME_PROCEDURE,2603060340,2603251640,EMERGENCY SERVICES REDUCED,"A3062/24 NOTAMN
Q) RJZX/QAFXX/IV/NBO/A/000/999/5000N00000E999
A) RJTT B) 2603060340 C) 2603251640
E) EMERGENCY SERVICES REDUCED",26,3
A2984/24,KJFK,QOBXX,OBSTACLE,2603091240,2603210340,MULTIPLE CRANES MAX 614FT AGL WITHIN 8.4NM,"A2984/24 NOTAMN
Q) KJZX/QOBXX/IV/NBO/A/000/999/5000N00000E999
A) KJFK B) 2603091240 C) 2603210340
E) MULTIPLE CRANES MAX 614FT AGL WITHIN 8.4NM",42,7
A2443/24,OMDB,QLTBJ,LIGHTING,2603071040,2603150940,VASI RWY 05 UNSERVICEABLE,"A2443/24 NOTAMN
Q) OMZX/QLTBJ/IV/NBO/A/000/999/5000N00000E999
A) OMDB B) 2603071040 C) 2603150940
E) VASI RWY 05 UNSERVICEABLE",25,4
A2788/24,EGLL,QOBCE,OBSTACLE,2603080740,2603130040,OBSTACLE LGTS U/S 4626N00101E 1537FT AMSL,"A2788/24 NOTAMN
Q) EGZX/QOBCE/IV/NBO/A/000/999/5000N00000E999
A) EGLL B) 2603080740 C) 2603130040
E) OBSTACLE LGTS U/S 4626N00101E 1537FT AMSL",41,6
A1800/24,LFPG,QDAXX,AIRSPACE_RESTRICTION,2603062240,2603130940,TFR IN EFFECT WITHIN 18NM OF KATL DUE TO CRACKED PAVEMENT,"A1800/24 NOTAMN
Q) LFZX/QDAXX/IV/NBO/A/000/999/5000N00000E999
A) LFPG B) 2603062240 C) 2603130940
E) TFR IN EFFECT WITHIN 18NM OF KATL DUE TO CRACKED PAVEMENT",57,11
A2711/24,KATL,QOBXX,OBSTACLE,2603081440,2603120940,OBSTACLE LGTS U/S 3641N00944E 1439FT AMSL,"A2711/24 NOTAMN
Q) KAZX/QOBXX/IV/NBO/A/000/999/5000N00000E999
A) KATL B) 2603081440 C) 2603120940
E) OBSTACLE LGTS U/S 3641N00944E 1439FT AMSL",41,6
A1354/24,LFPG,QMRLT,RUNWAY_CLOSURE,2603062240,2604050340,RWY 23 CLSD TO ALL ACFT EXCEPT EMERGENCY,"A1354/24 NOTAMN
Q) LFZX/QMRLT/IV/NBO/A/000/999/5000N00000E999
A) LFPG B) 2603062240 C) 2604050340
E) RWY 23 CLSD TO ALL ACFT EXCEPT EMERGENCY",40,8
A2612/24,EGLL,QOBCE,OBSTACLE,2603081140,2604010740,MULTIPLE CRANES MAX 479FT AGL WITHIN 2.8NM,"A2612/24 NOTAMN
Q) EGZX/QOBCE/IV/NBO/A/000/999/5000N00000E999
A) EGLL B) 2603081140 C) 2604010740
E) MULTIPLE CRANES MAX 479FT AGL WITHIN 2.8NM",42,7
A1672/24,EDDF,QNDXX,NAVIGATION_AID,2603080940,2604020540,VOR SFD UNSERVICEABLE,"A1672/24 NOTAMN
Q) EDZX/QNDXX/IV/NBO/A/000/999/5000N00000E999
A) EDDF B) 2603080940 C) 2604020540
E) VOR SFD UNSERVICEABLE",21,3
A2479/24,OMDB,QLTBA,LIGHTING,2603070940,2604011040,APCH LGTS RWY 09 OTS,"A2479/24 NOTAMN
Q) OMZX/QLTBA/IV/NBO/A/000/999/5000N00000E999
A) OMDB B) 2603070940 C) 2604011040
E) APCH LGTS RWY 09 OTS",20,5
A2494/24,KATL,QLTBA,LIGHTING,2603090240,2603300740,APCH LGTS RWY 18 OTS,"A2494/24 NOTAMN
Q) KAZX/QLTBA/IV/NBO/A/000/999/5000N00000E999
A) KATL B) 2603090240 C) 2603300740
E) APCH LGTS RWY 18 OTS",20,5
A2548/24,EDDF,QLTBA,LIGHTING,2603080040,2603291440,HIRL RWY 10R REDUCED TO MIRL,"A2548/24 NOTAMN
Q) EDZX/QLTBA/IV/NBO/A/000/999/5000N00000E999
A) EDDF B) 2603080040 C) 2603291440
E) HIRL RWY 10R REDUCED TO MIRL",28,6
A1109/24,YSSY,QMRLT,RUNWAY_CLOSURE,2603060240,2603131240,RWY 18 CLSD 3H DAILY,"A1109/24 NOTAMN
Q) YSZX/QMRLT/IV/NBO/A/000/999/5000N00000E999
A) YSSY B) 2603060240 C) 2603131240
E) RWY 18 CLSD 3H DAILY",20,5
A1784/24,EGLL,QNVAS,NAVIGATION_AID,2603080240,2603181540,DME LAM UNMON,"A1784/24 NOTAMN
Q) EGZX/QNVAS/IV/NBO/A/000/999/5000N00000E999
A) EGLL B) 2603080240 C) 2603181540
E) DME LAM UNMON",13,3
A2902/24,KJFK,QOBCE,OBSTACLE,2603080140,2603212340,TOWER ERECTED 3634N01552E HEIGHT 442FT AMSL,"A2902/24 NOTAMN
Q) KJZX/QOBCE/IV/NBO/A/000/999/5000N00000E999
A) KJFK B) 2603080140 C) 2603212340
E) TOWER ERECTED 3634N01552E HEIGHT 442FT AMSL",43,6
A2096/24,RJTT,QAALT,AIRSPACE_RESTRICTION,2603070240,2603081940,UAS OPERATIONS PROHIBITED WI 18NM OF KLAX,"A2096/24 NOTAMN
Q) RJZX/QAALT/IV/NBO/A/000/999/5000N00000E999
A) RJTT B) 2603070240 C) 2603081940
E) UAS OPERATIONS PROHIBITED WI 18NM OF KLAX",41,7
A2424/24,EDDF,QLTAS,LIGHTING,2603071940,2604051440,VASI RWY 05 UNSERVICEABLE,"A2424/24 NOTAMN
Q) EDZX/QLTAS/IV/NBO/A/000/999/5000N00000E999
A) EDDF B) 2603071940 C) 2604051440
E) VASI RWY 05 UNSERVICEABLE",25,4
A3012/24,KLAX,QARAS,AERODROME_PROCEDURE,2603092240,2603230140,ATIS INOP USE 135.835 FOR INFO,"A3012/24 NOTAMN
Q) KLZX/QARAS/IV/NBO/A/000/999/5000N00000E999
A) KLAX B) 2603092240 C) 2603230140
E) ATIS INOP USE 135.835 FOR INFO",30,6
A2020/24,OMDB,QRPXX,AIRSPACE_RESTRICTION,2603090840,2604022140,CLASS C AIRSPACE CHANGED TO CLASS C,"A2020/24 NOTAMN
Q) OMZX/QRPXX/IV/NBO/A/000/999/5000N00000E999
A) OMDB B) 2603090840 C) 2604022140
E) CLASS C AIRSPACE CHANGED TO CLASS C",35,7
A1900/24,KJFK,QRTCA,AIRSPACE_RESTRICTION,2603091140,2603311840,TFR EFFECTIVE WITHIN 26NM RADIUS OF 3216N 01242W,"A1900/24 NOTAMN
Q) KJZX/QRTCA/IV/NBO/A/000/999/5000N00000E999
A) KJFK B) 2603091140 C) 2603311840
E) TFR EFFECTIVE WITHIN 26NM RADIUS OF 3216N 01242W",48,8
A1957/24,LFPG,QRTCA,AIRSPACE_RESTRICTION,2603081640,2603131440,SPECIAL FLIGHT RULES AREA ACTIVE SFC-17058FT MSL,"A1957/24 NOTAMN
Q) LFZX/QRTCA/IV/NBO/A/000/999/5000N00000E999
A) LFPG B) 2603081640 C) 2603131440
E) SPECIAL FLIGHT RULES AREA ACTIVE SFC-17058FT MSL",48,7
A2126/24,KJFK,QRTCA,AIRSPACE_RESTRICTION,2603090540,2604030040,PROHIBITED AREA D-201 ACTIVATED,"A2126/24 NOTAMN
Q) KJZX/QRTCA/IV/NBO/A/000/999/5000N00000E999
A) KJFK B) 2603090540 C) 2604030040
E) PROHIBITED AREA D-201 ACTIVATED",31,4
A2299/24,YSSY,QLTBA,LIGHTING,2603061540,2603122040,ALS RWY 32L OTS,"A2299/24 NOTAMN
Q) YSZX/QLTBA/IV/NBO/A/000/999/5000N00000E999
A) YSSY B) 2603061540 C) 2603122040
E) ALS RWY 32L OTS",15,4
A1445/24,KATL,QNDXX,NAVIGATION_AID,2603061940,2603271540,GP RWY 10L NOT AVAILABLE,"A1445/24 NOTAMN
Q) KAZX/QNDXX/IV/NBO/A/000/999/5000N00000E999
A) KATL B) 2603061940 C) 2603271540
E) GP RWY 10L NOT AVAILABLE",24,5
A1602/24,EDDF,QNVXX,NAVIGATION_AID,2603070640,2603180940,ILS RWY 09 NOT AVAILABLE,"A1602/24 NOTAMN
Q) EDZX/QNVXX/IV/NBO/A/000/999/5000N00000E999
A) EDDF B) 2603070640 C) 2603180940
E) ILS RWY 09 NOT AVAILABLE",24,5
A2400/24,OMDB,QLTBA,LIGHTING,2603092240,2603171540,TWY C EDGE LGTS OTS,"A2400/24 NOTAMN
Q) OMZX/QLTBA/IV/NBO/A/000/999/5000N00000E999
A) OMDB B) 2603092240 C) 2603171540
E) TWY C EDGE LGTS OTS",19,5
A2139/24,EHAM,QRTCA,AIRSPACE_RESTRICTION,2603071040,2603312340,SPECIAL FLIGHT RULES AREA ACTIVE SFC-15998FT MSL,"A2139/24 NOTAMN
Q) EHZX/QRTCA/IV/NBO/A/000/999/5000N00000E999
A) EHAM B) 2603071040 C) 2603312340
E) SPECIAL FLIGHT RULES AREA ACTIVE SFC-15998FT MSL",48,7
A2742/24,KJFK,QOBXX,OBSTACLE,2603080740,2603251740,TOWER ERECTED 3235N01625W HEIGHT 791FT AMSL,"A2742/24 NOTAMN
Q) KJZX/QOBXX/IV/NBO/A/000/999/5000N00000E999
A) KJFK B) 2603080740 C) 2603251740
E) TOWER ERECTED 3235N01625W HEIGHT 791FT AMSL",43,6
